iter	Passed	Remaining
0	48	48170
1	49	24490
2	49	16560
3	50	12523
4	50	10094
5	51	8473
6	51	7328
7	52	6452
8	52	5758
9	52	5200
10	52	4750
11	53	4369
12	53	4051
13	53	3789
14	54	3553
15	54	3350
16	54	3170
17	55	3006
18	55	2859
19	55	2729
20	56	2612
21	56	2506
22	56	2408
23	56	2317
24	57	2233
25	57	2156
26	57	2083
27	58	2015
28	58	1952
29	58	1893
30	58	1838
31	59	1786
32	59	1738
33	59	1694
34	59	1651
35	60	1610
36	60	1572
37	60	1535
38	60	1501
39	61	1468
40	61	1437
41	61	1407
42	61	1379
43	62	1352
44	62	1326
45	62	1301
46	63	1279
47	63	1257
48	63	1237
49	64	1216
50	64	1196
51	64	1176
52	64	1157
53	65	1138
54	65	1121
55	65	1103
56	65	1087
57	66	1072
58	66	1065
59	67	1051
60	67	1037
61	67	1023
62	67	1009
63	68	996
64	68	984
65	68	972
66	69	961
67	69	949
68	69	938
69	69	927
70	70	916
71	70	905
72	70	895
73	70	885
74	71	875
75	71	866
76	71	857
77	71	849
78	72	840
79	72	832
80	72	826
81	73	818
82	73	809
83	73	802
84	73	794
85	74	787
86	74	780
87	74	773
88	74	766
89	75	759
90	75	753
91	75	746
92	75	740
93	76	733
94	76	727
95	76	721
96	76	715
97	77	709
98	77	703
99	77	697
100	77	692
101	78	686
102	78	681
103	78	676
104	78	671
105	79	666
106	79	661
107	79	656
108	79	652
109	80	647
110	80	642
111	80	638
112	80	634
113	81	629
114	81	625
115	81	622
116	81	618
117	82	614
118	82	611
119	82	607
120	83	603
121	83	599
122	83	595
123	83	592
124	84	588
125	84	585
126	84	581
127	84	578
128	85	575
129	85	571
130	85	568
131	85	565
132	86	561
133	86	558
134	86	555
135	86	552
136	87	549
137	87	546
138	87	543
139	87	540
140	88	537
141	88	533
142	88	531
143	88	528
144	89	525
145	89	522
146	89	520
147	89	517
148	90	514
149	90	512
150	90	509
151	90	506
152	91	504
153	91	501
154	91	499
155	91	496
156	92	494
157	92	491
158	92	489
159	92	487
160	92	484
161	93	482
162	93	479
163	93	477
164	94	476
165	94	474
166	94	472
167	95	470
168	95	468
169	95	468
170	96	467
171	96	465
172	97	463
173	97	461
174	97	460
175	97	458
176	98	456
177	98	455
178	98	453
179	99	451
180	99	449
181	99	448
182	100	447
183	100	445
184	100	444
185	101	442
186	101	440
187	101	439
188	101	437
189	102	435
190	102	434
191	102	432
192	103	431
193	103	429
194	103	428
195	103	426
196	104	424
197	104	423
198	104	421
199	105	420
200	105	418
201	105	417
202	105	416
203	106	414
204	106	413
205	106	411
206	107	410
207	107	408
208	107	407
209	107	405
210	108	404
211	108	403
212	108	401
213	108	400
214	109	399
215	109	397
216	109	396
217	110	395
218	110	393
219	110	392
220	110	391
221	111	389
222	111	388
223	111	387
224	112	385
225	112	384
226	112	383
227	112	382
228	113	381
229	113	380
230	113	378
231	114	377
232	114	376
233	114	375
234	114	374
235	115	373
236	115	372
237	115	370
238	116	369
239	116	368
240	116	367
241	116	365
242	117	364
243	117	363
244	117	362
245	117	361
246	118	360
247	118	359
248	118	358
249	119	357
250	119	356
251	119	354
252	119	353
253	120	352
254	120	351
255	120	350
256	120	349
257	121	348
258	121	347
259	121	346
260	122	345
261	122	344
262	122	344
263	123	342
264	123	342
265	123	341
266	123	340
267	124	339
268	124	338
269	124	337
270	125	336
271	125	335
272	125	334
273	125	333
274	126	332
275	126	331
276	126	330
277	126	329
278	127	328
279	127	327
280	127	326
281	128	325
282	128	324
283	128	324
284	128	323
285	129	322
286	129	321
287	129	320
288	129	319
289	130	318
290	130	317
291	130	316
292	130	315
293	131	314
294	131	314
295	131	313
296	131	312
297	132	311
298	132	310
299	132	309
300	133	308
301	133	308
302	133	307
303	133	306
304	134	305
305	134	304
306	134	304
307	135	303
308	135	302
309	135	301
310	135	300
311	136	300
312	136	299
313	136	298
314	136	297
315	137	296
316	137	296
317	137	295
318	138	294
319	138	293
320	138	293
321	139	292
322	139	292
323	139	291
324	139	290
325	140	289
326	140	288
327	140	288
328	140	287
329	141	286
330	141	286
331	142	285
332	142	285
333	142	284
334	142	283
335	143	282
336	143	282
337	143	281
338	143	280
339	144	280
340	144	279
341	144	278
342	145	278
343	145	277
344	146	277
345	146	276
346	146	275
347	146	275
348	147	274
349	147	273
350	147	272
351	147	272
352	148	271
353	148	270
354	148	270
355	149	269
356	149	269
357	149	268
358	150	268
359	150	267
360	150	266
361	150	266
362	151	265
363	151	264
364	151	263
365	151	263
366	152	262
367	152	261
368	152	261
369	153	260
370	153	259
371	153	259
372	153	258
373	154	257
374	154	257
375	154	256
376	154	256
377	155	255
378	155	254
379	155	254
380	156	253
381	156	252
382	156	252
383	156	251
384	157	251
385	157	250
386	157	249
387	157	249
388	158	248
389	158	247
390	158	247
391	159	246
392	159	246
393	159	245
394	160	245
395	160	244
396	160	244
397	161	243
398	161	242
399	161	242
400	161	241
401	162	241
402	162	240
403	162	240
404	163	239
405	163	239
406	163	238
407	163	237
408	164	237
409	164	236
410	164	236
411	165	235
412	165	234
413	165	234
414	165	233
415	166	233
416	166	232
417	166	232
418	166	231
419	167	230
420	167	230
421	167	229
422	168	229
423	168	228
424	168	228
425	168	227
426	169	226
427	169	226
428	169	225
429	169	225
430	170	224
431	170	224
432	170	223
433	171	223
434	171	222
435	171	222
436	172	221
437	172	221
438	172	220
439	172	220
440	173	219
441	173	219
442	173	218
443	174	218
444	174	217
445	174	217
446	174	216
447	175	215
448	175	215
449	175	214
450	176	214
451	176	214
452	177	213
453	177	213
454	177	212
455	177	212
456	178	211
457	178	211
458	178	210
459	178	210
460	179	209
461	179	208
462	179	208
463	179	207
464	180	207
465	180	206
466	180	206
467	180	205
468	181	205
469	181	204
470	181	204
471	182	203
472	182	203
473	182	202
474	182	202
475	183	201
476	183	201
477	183	200
478	183	200
479	184	199
480	184	198
481	184	198
482	184	197
483	185	197
484	185	196
485	185	196
486	186	195
487	186	195
488	186	194
